Fig10,A,B,,,C,,,,,,D,,,,,,,,,E,,,,,F,,,,,G,,,,,,H,,,,,,I,,,,
,,,,,%Correct,,,,,,,%Correct,,,,,,,,Reversal num,,,,,Trials/reversal,,,,,Trials,,,,,,Actual Delay,,,,,,Trials,,,,
,Days for criteria,Days for criteria,,,,,day,,,,,Trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bin (10 trials),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,1,2,3,4,5,6,7,8,9,10,11,,13,14,15,16,17,18,19,20,21,22,23,,25,26,27,28,29,30,31,32,33,34,35,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT1,70,55,70,55,75,65,50,60,45,50,80,,70,56,73,60,66,66,53,56,46,50,80,,70,40,70,40,80,50,60,70,50,40,90,,,,,,,,,,,
WT2,70,50,50,50,10,50,70,90,50,60,70,,60,80,70,10,10,70,50,80,60,70,30,,70,70,50,50,60,70,70,50,40,70,70,,,,,,,,,,,
WT3,20,40,60,40,40,50,50,70,40,60,70,,80,60,70,30,60,80,80,30,70,60,40,,30,40,40,80,60,70,60,70,60,50,70,,,,,,,,,,,
WT4,80,30,30,80,40,80,50,60,70,80,60,,60,70,50,20,30,80,80,70,0,20,50,,30,80,60,50,60,80,50,60,70,50,80,,,,,,,,,,,
WT5,80,80,60,80,40,90,50,40,80,60,60,,70,60,60,80,20,70,80,70,70,40,70,,70,60,80,50,60,70,80,70,30,50,70,,,,,,,,,,,
WT6,80,20,30,50,60,40,50,70,30,70,50,,80,40,10,70,90,70,40,60,60,50,90,,70,40,90,80,90,60,60,40,30,60,50,,,,,,,,,,,
WT7,40,60,40,10,40,60,70,60,50,50,40,,30,80,60,50,50,50,60,60,60,80,60,,50,60,60,70,20,60,30,60,60,70,60,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,62.85714286,47.85714286,48.57142857,52.14285714,43.57142857,62.14285714,55.71428571,64.28571429,52.14285714,61.42857143,61.42857143,,64.28571429,63.71428571,56.14285714,45.71428571,46.57142857,69.42857143,63.28571429,60.85714286,52.28571429,52.85714286,60,,56.66666667,55,65,58.33333333,68.33333333,66.66666667,63.33333333,60,46.66666667,53.33333333,71.66666667,,,,,,,,,,,
Sem,8.921425712,7.548032135,5.947617141,9.119389525,7.615326472,6.713272467,3.688555568,5.714285714,6.533534635,4.040610178,5.084322977,,6.494372237,5.388321966,8.258988095,9.965928351,10.66113802,3.822596617,6.312173747,5.997731998,9.231711098,7.468755782,8.164965809,,8.432740427,7.187952884,7.637626158,7.03167437,5.426273532,4.216370214,4.216370214,5.163977795,6.666666667,4.216370214,5.426273532,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLGF1,90,60,60,50,30,60,70,20,30,50,30,,50,50,50,50,80,50,50,40,60,70,50,,80,50,40,30,70,70,50,30,70,80,20,,,,,,,,,,,
NLGF2,70,50,60,50,70,50,30,50,50,60,40,,50,70,20,50,60,70,50,40,40,40,50,,40,50,70,40,50,50,70,50,80,40,60,,,,,,,,,,,
NLGF3,70,10,40,30,30,30,60,70,70,60,50,,30,70,40,70,40,50,80,50,80,60,80,,60,60,70,60,30,40,40,70,40,70,70,,,,,,,,,,,
NLGF4,70,40,40,40,60,60,40,10,30,40,50,,80,50,60,40,40,80,40,70,30,40,30,,70,50,70,60,70,20,40,70,50,70,30,,,,,,,,,,,
NLGF5,70,20,20,30,10,30,60,20,20,30,40,,40,80,50,60,40,80,40,50,40,60,30,,60,70,40,50,60,50,50,60,50,50,70,,,,,,,,,,,
NLGF6,60,80,10,50,50,50,40,50,40,50,60,,70,40,70,30,70,60,80,50,60,70,40,,40,30,30,80,30,40,80,40,10,50,30,,,,,,,,,,,
NLGF7,80,30,20,50,60,50,70,30,60,50,40,,70,50,70,10,80,20,70,50,60,50,50,,50,80,10,50,20,30,60,70,70,80,60,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sem,11.2851115,8.695921321,4.319706465,,,,,,,,,,,,
Ave,72.85714286,41.42857143,35.71428571,42.85714286,44.28571429,47.14285714,52.85714286,35.71428571,42.85714286,48.57142857,44.28571429,,55.71428571,58.57142857,51.42857143,44.28571429,58.57142857,58.57142857,58.57142857,50,52.85714286,55.71428571,47.14285714,,57.14285714,55.71428571,47.14285714,52.85714286,47.14285714,42.85714286,55.71428571,55.71428571,52.85714286,62.85714286,48.57142857,,,,,,,,,,,
Sem,3.595159255,9.110060224,7.514158971,3.595159255,8.123201004,4.738035415,6.060915267,8.123201004,6.801360408,4.040610178,3.688555568,,6.85118789,5.532833352,6.700593943,7.514158971,7.046975518,7.996597916,6.700593943,3.77964473,6.441785361,4.809288066,6.441785361,,5.654448613,6.116777418,8.921425712,6.060915267,7.781016494,6.060915267,5.714285714,6.116777418,8.921425712,6.060915267,7.996597916,,,,,,,,,,,
